url,screenshot,palette,heatmap,color_1,prop_1,color_2,prop_2,color_3,prop_3,color_4,prop_4,color_5,prop_5
https://espantaj0.neocities.org,screenshots\espantaj0.neocities.org.png,palettes\espantaj0.neocities.org_palette.png,heatmaps\espantaj0.neocities.org_heatmap.png,#060115,"40,94",#29116a,"14,25",#a7a9a9,"2,9",#160c36,"34,98",#46515c,"6,93"
https://guirdo.neocities.org,screenshots\guirdo.neocities.org.png,palettes\guirdo.neocities.org_palette.png,heatmaps\guirdo.neocities.org_heatmap.png,#f1f3f2,"20,24",#080737,"32,83",#af9b88,"17,13",#564958,"17,32",#e9d7b6,"12,48"
https://ideasdescartadas.neocities.org,screenshots\ideasdescartadas.neocities.org.png,palettes\ideasdescartadas.neocities.org_palette.png,heatmaps\ideasdescartadas.neocities.org_heatmap.png,#2b2829,"54,72",#f5060f,"15,17",#cbb0a4,"3,48",#040304,"20,74",#5d5d62,"5,89"
https://leavem3here.neocities.org,screenshots\leavem3here.neocities.org.png,palettes\leavem3here.neocities.org_palette.png,heatmaps\leavem3here.neocities.org_heatmap.png,#010000,"89,24",#a10b0d,"2,01",#370807,"6,97",#b6b6b6,"0,68",#4e4c4c,"1,1"
https://skinet.neocities.org,screenshots\skinet.neocities.org.png,palettes\skinet.neocities.org_palette.png,heatmaps\skinet.neocities.org_heatmap.png,#fefefe,"79,1",#4b82c3,"9,4",#1133bc,"2,25",#484e5b,"4,83",#9fb0c7,"4,42"
https://atuta.neocities.org,screenshots\atuta.neocities.org.png,palettes\atuta.neocities.org_palette.png,heatmaps\atuta.neocities.org_heatmap.png,#0d0d0d,"54,13",#565656,"11,03",#7f7f7f,"13,84",#eeeeee,"4,32",#2c2c2c,"16,68"
https://ephocalypse.neocities.org,screenshots\ephocalypse.neocities.org.png,palettes\ephocalypse.neocities.org_palette.png,heatmaps\ephocalypse.neocities.org_heatmap.png,#291f1f,"4,95",#bbad95,"2,35",#8d5d86,"3,36",#5a4448,"4,05",#020103,"85,29"
https://farsaytragedia.neocities.org,screenshots\farsaytragedia.neocities.org.png,palettes\farsaytragedia.neocities.org_palette.png,heatmaps\farsaytragedia.neocities.org_heatmap.png,#f9e5c1,"96,72",#baa282,"0,4",#dbbc9b,"0,56",#8c795b,"0,32",#eddcbd,"1,99"
https://charos-room.neocities.org,screenshots\charos-room.neocities.org.png,palettes\charos-room.neocities.org_palette.png,heatmaps\charos-room.neocities.org_heatmap.png,#f4f3ef,"87,34",#030507,"1,38",#c7c4c3,"2,24",#8d8e8d,"0,92",#fefefe,"8,12"
https://tier.neocities.org,screenshots\tier.neocities.org.png,palettes\tier.neocities.org_palette.png,heatmaps\tier.neocities.org_heatmap.png,#000000,"96,56",#230100,"2,78",#453e37,"0,11",#630404,"0,45",#00004d,"0,09"
https://quizasmellameori.neocities.org,screenshots\quizasmellameori.neocities.org.png,palettes\quizasmellameori.neocities.org_palette.png,heatmaps\quizasmellameori.neocities.org_heatmap.png,#94afdb,"69,48",#e6b0b1,"1,47",#f2ead0,"15,17",#c0d572,"8,48",#da6f82,"5,4"
